model_id,seq_len,batch_size,weight_type,tput
NousResearch/Nous-Hermes-Llama2-13b,1,1,fp16,53.088569638684945
NousResearch/Nous-Hermes-Llama2-13b,1,4,fp16,212.542346319651
NousResearch/Nous-Hermes-Llama2-13b,1,8,fp16,418.2494234160269
NousResearch/Nous-Hermes-Llama2-13b,1,16,fp16,798.1727119364631
NousResearch/Nous-Hermes-Llama2-13b,1,32,fp16,1527.4525745812364
NousResearch/Nous-Hermes-Llama2-13b,1,64,fp16,2635.7593263450253
NousResearch/Nous-Hermes-Llama2-13b,16,1,fp16,791.0895642838129
NousResearch/Nous-Hermes-Llama2-13b,32,1,fp16,1591.9952219420884
NousResearch/Nous-Hermes-Llama2-13b,64,1,fp16,2980.256525072549
NousResearch/Nous-Hermes-Llama2-13b,128,1,fp16,4443.804061479404
NousResearch/Nous-Hermes-Llama2-13b,256,1,fp16,6629.828377641746
NousResearch/Nous-Hermes-Llama2-13b,512,1,fp16,6968.331902861492
NousResearch/Nous-Hermes-Llama2-13b,1024,1,fp16,7231.378286601758
NousResearch/Nous-Hermes-Llama2-13b,2048,1,fp16,7902.6184285546615
NousResearch/Nous-Hermes-Llama2-13b,4096,1,fp16,7733.767492024653
TheBloke/Llama-2-13B-chat-GPTQ,1,1,gptq,122.07616769402846
TheBloke/Llama-2-13B-chat-GPTQ,1,4,gptq,383.7322813592968
TheBloke/Llama-2-13B-chat-GPTQ,1,8,gptq,514.115058931721
TheBloke/Llama-2-13B-chat-GPTQ,1,16,gptq,611.3466059983646
TheBloke/Llama-2-13B-chat-GPTQ,1,32,gptq,699.8521326185991
TheBloke/Llama-2-13B-chat-GPTQ,1,64,gptq,1315.3462194981507
TheBloke/Llama-2-13B-chat-GPTQ,16,1,gptq,631.1709754124402
TheBloke/Llama-2-13B-chat-GPTQ,32,1,gptq,715.2797967469746
TheBloke/Llama-2-13B-chat-GPTQ,64,1,gptq,1387.8958337620506
TheBloke/Llama-2-13B-chat-GPTQ,128,1,gptq,2442.157162237668
TheBloke/Llama-2-13B-chat-GPTQ,256,1,gptq,4156.876005801538
TheBloke/Llama-2-13B-chat-GPTQ,512,1,gptq,5602.706206899874
TheBloke/Llama-2-13B-chat-GPTQ,1024,1,gptq,6828.723678544805
TheBloke/Llama-2-13B-chat-GPTQ,2048,1,gptq,7536.305363988546
TheBloke/Llama-2-13B-chat-GPTQ,4096,1,gptq,7610.613715873008
robertgshaw2/llama-2-13b-chat-marlin,1,1,marlin,131.68416763496072
robertgshaw2/llama-2-13b-chat-marlin,1,4,marlin,512.4326024205822
robertgshaw2/llama-2-13b-chat-marlin,1,8,marlin,989.9809799716481
robertgshaw2/llama-2-13b-chat-marlin,1,16,marlin,1861.8403054336245
robertgshaw2/llama-2-13b-chat-marlin,1,32,marlin,2979.5773575035046
robertgshaw2/llama-2-13b-chat-marlin,1,64,marlin,3811.100875607414
robertgshaw2/llama-2-13b-chat-marlin,16,1,marlin,1229.7596738200975
robertgshaw2/llama-2-13b-chat-marlin,32,1,marlin,2459.3803743074823
robertgshaw2/llama-2-13b-chat-marlin,64,1,marlin,4639.1245591251545
robertgshaw2/llama-2-13b-chat-marlin,128,1,marlin,5265.7114008155595
robertgshaw2/llama-2-13b-chat-marlin,256,1,marlin,5452.599445127305
robertgshaw2/llama-2-13b-chat-marlin,512,1,marlin,5558.9973614376095
robertgshaw2/llama-2-13b-chat-marlin,1024,1,marlin,5566.290221153379
robertgshaw2/llama-2-13b-chat-marlin,2048,1,marlin,5518.457621216514
robertgshaw2/llama-2-13b-chat-marlin,4096,1,marlin,5399.467117137167
